Period,No.of buildings,SFH,TH,MFH,AB
before 1919,160869,104403.981,29117.289,15926.031,11260.83
1919 - 1948,112553,73046.897,20372.093,11142.747,7878.71
1949 - 1957,28027,18189.523,5072.887,2774.673,1961.89
1958 - 1968,34255,22231.495,6200.155,3391.245,2397.85
1969 - 1978,31140,20209.86,5636.34,3082.86,2179.8
1979 - 1983,24776,16079.624,4484.456,2452.824,1734.32
1984 - 1994,59364,38527.236,10744.884,5877.036,4155.48
1995 - 2001,52624,35363.328,10735.296,6420.128,0
2002 - 2009,13116,8813.952,2675.664,1600.152,0
2010 - 2015,9837,6610.464,2006.748,973.863,0
2016 - 2022,11477,7712.544,2341.308,1136.223,0
Total,538038,,,,
