Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,83.1,1.3
roof_2,0,0
wall_1,194,1.7
wall_2,0,0
wall_3,0,0
floor_1,45.6,0.88
floor_2,32.7,1.2
window_1,22.3,2.8
window_2,0,0
door_1,2,3
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,214,1.4
roof_2,0,0
wall_1,235.3,1.7
wall_2,0,0
wall_3,0,0
floor_1,144.9,0.77
floor_2,0,0
window_1,52.4,2.8
window_2,0,0
door_1,2,3
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,125.4,1.4
roof_2,0,0
wall_1,117.8,1.4
wall_2,0,0
wall_3,0,0
floor_1,62,0.78
floor_2,17.9,1.01
window_1,18.4,2.8
window_2,0,0
door_1,2,3
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,168.9,0.8
roof_2,0,0
wall_1,141.2,1.2
wall_2,8.7,0.8
wall_3,0,0
floor_1,115.8,1.08
floor_2,0,0
window_1,27.1,2.8
window_2,0,0
door_1,2.1,3
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,183.1,0.5
roof_2,0,0
wall_1,177.6,1
wall_2,0,0
wall_3,0,0
floor_1,78.3,0.77
floor_2,74,1
window_1,34.2,2.8
window_2,0,0
door_1,2,3
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,100.8,0.5
roof_2,0,0
wall_1,159.4,0.8
wall_2,0,0
wall_3,0,0
floor_1,83.4,0.65
floor_2,0,0
window_1,27,4.3
window_2,0,0
door_1,2,3
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,123.2,0.4
roof_2,0,0
wall_1,211.3,0.5
wall_2,0,0
wall_3,0,0
floor_1,75.3,0.51
floor_2,0,0
window_1,29.7,3.2
window_2,0,0
door_1,2,3
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,115.5,0.35
roof_2,0,0
wall_1,126.6,0.3
wall_2,0,0
wall_3,0,0
floor_1,84.3,0.4
floor_2,0,0
window_1,32.5,1.9
window_2,0,0
door_1,2,2
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,85.9,0.25
roof_2,0,0
wall_1,188.9,0.3
wall_2,0,0
wall_3,0,0
floor_1,79.8,0.28
floor_2,0,0
window_1,28.3,1.4
window_2,0,0
door_1,2,2
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,131.9,0.2
roof_2,0,0
wall_1,227.6,0.28
wall_2,0,0
wall_3,0,0
floor_1,0,0
floor_2,107.8,0.35
window_1,42,1.3
window_2,0,0
door_1,2.6,1.8
,,
Building Parameter,"envelop area, Aenv,i (m2)","Uactual,iW/(m2K)"
roof_1,131.9,0.146
roof_2,0,0
wall_1,226.7,0.17
wall_2,0,0
wall_3,0,0
floor_1,0,0
floor_2,107.8,0.17
window_1,42,1.1
window_2,0,0
door_1,2.6,1.3
